year,precip_lowest_3_years_inches
1966,9.31773091342503
1967,9.2506668411092
1968,9.10170257645702
1969,9.14700810482071
1970,9.12737838245748
1971,9.04724753567839
1972,9.08645478980946
1973,9.12410940965524
1974,9.13248979887403
1975,9.02420439646375
1976,8.8112185676867
1977,8.7697439429783
1978,8.64995790775557
1979,8.64995790775557
1980,8.63900791871689
1981,8.60669148834313
1982,8.61423366049538
1983,8.61563838397954
1984,8.60867569025228
1985,8.62652196454287
1986,8.57400128530572
1987,8.57400128530572
1988,8.55925843636905
1989,8.42082844406338
1990,8.41294019754099
1991,8.40066128255134
1992,8.44105301935329
1993,8.53254187987004
1994,8.52598889915563
1995,8.53119402372808
1996,8.53119402372808
1997,8.50780994747921
1998,8.52257300395137
1999,8.52257300395137
2000,8.53266153290657
2001,8.57140704853792
2002,8.59672459845759
2003,8.54375853681589
2004,8.48138764840083
2005,8.39711429319352
2006,8.41071720497809
2007,8.50692242879309
2008,8.33400815178865
2009,8.38204909511903
2010,8.36216864358253
2011,8.49906807111456
2012,8.52978326681734
2013,8.49117663694635
2014,8.47553183558115
2015,8.47553183558115
2016,8.47553183558115
2017,8.5215495326878
2018,8.565069381156
2019,8.46638524888258
2020,8.43425558816167
2021,8.44927845812491
2022,8.46235355122985
2023,8.58764841170427
2024,8.58624074248571
2025,8.60043180875521
2026,8.48889332078293
2027,8.42891834747227
2028,8.51273979427121
2029,8.5942433169163
2030,8.57804725389499
2031,8.50603121129486
2032,8.34424339546085
2033,8.24469646300206
2034,8.23743279721784
2035,8.25402760819785
2036,8.25402760819785
2037,8.20676628177361
2038,8.10929173755664
2039,8.21329955817209
2040,8.0745348129094
2041,8.16892511482897
2042,8.11501594704294
2043,8.11501594704294
2044,8.09821403960135
2045,8.06017382319779
2046,8.06638024424202
2047,7.98209915453936
2048,7.96284691312467
2049,7.90837878757818
2050,7.94633642574797
2051,7.93423472088568
2052,7.94189388322529
2053,7.93392975495516
2054,7.92572183927744
2055,7.92572183927744
2056,7.93250282482624
2057,7.87231908726029
2058,7.84593022899544
2059,7.83936000461128
2060,7.65547486214044
2061,7.63303774194119
2062,7.59548020506662
2063,7.56093270403796
2064,7.52025494225926
2065,7.60715804531089
2066,7.66221648346645
2067,7.66221648346645
2068,7.67275179493068
2069,7.66983505048497
2070,7.59459796338418
2071,7.63262959471482
2072,7.65168882042513
2073,7.678843058728
2074,7.69306045434759
2075,7.62117914126992
2076,7.53834268554729
2077,7.52888976825025
2078,7.583194066816
2079,7.58558566644316
2080,7.5502736236825
2081,7.5309044411922
2082,7.36675650613397
2083,7.43041999414664
2084,7.48420657581281
2085,7.49419892132137
