year,sea_level_year_max_feet
1950,4.28655
1951,4.341285
1952,4.238539
1953,4.05326
1954,4.181221
1955,4.342105
1956,4.271995
1957,4.085527
1958,3.926816
1959,4.251331
1960,4.257891
1961,4.19471
1962,4.12378
1963,4.122509
1964,4.3419
1965,4.375725
1966,4.127757
1967,4.235341
1968,4.310535
1969,4.266583
1970,4.343704
1971,4.246657
1972,4.512706
1973,4.341244
1974,4.408197
1975,4.240999
1976,4.217588
1977,4.359407
1978,4.270765
1979,4.147191
1980,4.099016
1981,4.333044
1982,4.409837
1983,4.33124
1984,4.354856
1985,4.360268
1986,4.507827
1987,4.492452
1988,4.44932
1989,4.49237
1990,4.666251
1991,4.469615
1992,4.317259
1993,4.367648
1994,4.295857
1995,4.347476
1996,4.28245
1997,4.334602
1998,4.262934
1999,4.433166
2000,4.446942
2001,4.46408
2002,4.365721
2003,4.568384
2004,4.589458
2005,4.625743
2006,4.378759
2007,4.517421
2008,4.686177
2009,4.847553
2010,4.516314
2011,4.328165
2012,4.513444
2013,4.534026
2014,4.564612
2015,4.319637
2016,4.488393
2017,4.562193
2018,4.635911
2019,4.483145
2020,4.44645
2021,4.606309
2022,4.80233
2023,4.688678
2024,4.548704
2025,4.675353
2026,4.938737
2027,4.704586
2028,4.588597
2029,4.692942
2030,4.676911
2031,4.716353
2032,4.736935
2033,4.601676
2034,4.714016
2035,4.834925
2036,4.833408
2037,4.572689
2038,4.961328
2039,4.961861
2040,5.052102
2041,4.932956
2042,4.913071
2043,5.187525
2044,5.19347
2045,5.102122
2046,5.100564
2047,5.232215
2048,5.156488
2049,5.157759
2050,5.048986
2051,5.144967
2052,5.350828
2053,5.568251
2054,5.221227
2055,5.236848
2056,5.42389
2057,5.750578
2058,5.755621
2059,5.58215
2060,5.785387
2061,5.994282
2062,5.904943
2063,5.778089
2064,5.923967
2065,6.224743
2066,6.078783
2067,5.986779
2068,5.983253
2069,6.029419
2070,6.193665
2071,6.265415
2072,6.328719
2073,6.332901
2074,6.53253
2075,6.750691
2076,6.913994
2077,6.738309
2078,6.905548
2079,7.122602
2080,7.192917
2081,7.136993
2082,7.27094
2083,7.43248
2084,7.370857
2085,7.388077
2086,7.498736
2087,7.689509
2088,7.918125
2089,7.753223
2090,7.906481
2091,7.799143
2092,8.299753
2093,8.364533
2094,8.365476
2095,8.364943
2096,8.754156
2097,8.876418
2098,8.985642
2099,9.013686
2100,9.289452
