"year","sea_level_max_feet"
"1950",4.364368
"1951",4.380768
"1952",4.221688
"1953",3.855968
"1954",3.911728
"1955",4.26564
"1956",4.703192
"1957",4.587736
"1958",3.679504
"1959",4.18692
"1960",4.378144
"1961",3.932392
"1962",4.266296
"1963",3.89992
"1964",4.019968
"1965",4.176424
"1966",3.976016
"1967",4.244976
"1968",4.395528
"1969",4.563136
"1970",4.465392
"1971",4.182328
"1972",4.110496
"1973",4.366008
"1974",4.4198
"1975",4.443416
"1976",4.399464
"1977",3.996024
"1978",4.285648
"1979",4.169536
"1980",4.133784
"1981",4.41488
"1982",4.48376
"1983",4.32304
"1984",4.054736
"1985",4.128536
"1986",4.41324
"1987",4.44604
"1988",4.134768
"1989",4.601512
"1990",4.786504
"1991",4.551984
"1992",4.207584
"1993",4.513608
"1994",4.469656
"1995",4.328616
"1996",4.519184
"1997",4.335176
"1998",4.058344
"1999",4.387984
"2000",4.415864
"2001",4.362728
"2002",4.036368
"2003",4.370272
"2004",4.671376
"2005",4.575928
"2006",4.421112
"2007",4.590032
"2008",4.553296
"2009",5.013152
"2010",4.742552
"2011",4.691056
"2012",4.579536
"2013",4.743864
"2014",4.6576
"2015",4.07868
"2016",4.95936
"2017",4.541488
"2018",4.927216
"2019",5.015448
"2020",4.457848
"2021",4.866864
"2022",4.712048
"2023",4.832752
"2024",4.762888
"2025",4.599216
"2026",4.939352
"2027",4.796344
"2028",4.973792
"2029",5.067928
"2030",4.637264
"2031",5.239472
"2032",4.991176
"2033",4.581832
"2034",4.98396
"2035",5.319176
"2036",5.3218
"2037",4.92164
"2038",5.65308
"2039",5.242752
"2040",5.33656
"2041",5.337216
"2042",5.073504
"2043",5.430696
"2044",5.536312
"2045",5.35624
"2046",5.595024
"2047",5.765912
"2048",5.460544
"2049",5.714744
"2050",5.304744
"2051",5.363784
"2052",5.942704
"2053",6.565904
"2054",6.003384
"2055",5.688504
"2056",6.252008
"2057",7.131376
"2058",6.584272
"2059",6.520312
"2060",6.584928
"2061",6.71416
"2062",6.953272
"2063",6.98476
"2064",7.168112
"2065",7.331128
"2066",7.573848
"2067",7.518744
"2068",7.360648
"2069",7.218952
"2070",7.362288
"2071",7.857568
"2072",7.897256
"2073",7.843136
"2074",8.478472
"2075",8.554568
"2076",8.590648
"2077",8.88716
"2078",8.902904
"2079",9.119712
"2080",9.121024
"2081",9.625488
"2082",9.219424
"2083",9.837048
"2084",9.321104
"2085",9.725528
"2086",10.312976
"2087",10.063696
"2088",10.474024
"2089",10.296576
"2090",10.653768
"2091",10.449752
"2092",11.374712
"2093",11.154952
"2094",11.364544
"2095",11.440968
"2096",12.293112
"2097",12.090736
"2098",12.013984
"2099",12.204224
"2100",13.216104
